,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
192,193,"['frag_10_c00001', 'frag_16_c00001']","[[7, 6], []]",30591.441739157395,50591.441739157395,"[[(1, 2), (4, 6)], [(4, 1), (1, 3), (2, 4), (7, 5), (5, 7), (6, 8), (3, 9)]]"
193,194,"['frag_16_c00001', 'frag_08_c00001']","[[], [6, 7]]",30657.104320740997,50657.104320741,"[[(4, 1), (1, 3), (6, 4), (3, 5), (5, 7), (2, 8), (7, 9)], [(2, 2), (1, 6)]]"
194,195,"['frag_16_c00001', 'frag_08_c00001']","[[], [6, 7]]",30657.104320740997,50657.104320741,"[[(4, 1), (1, 3), (2, 4), (3, 5), (5, 7), (6, 8), (7, 9)], [(2, 2), (1, 6)]]"
195,196,"['frag_16_c00001', 'frag_08_c00001']","[[], [6, 7]]",30660.503112523555,50660.503112523555,"[[(7, 2), (1, 3), (2, 4), (3, 5), (5, 6), (4, 7), (6, 8)], [(1, 1), (2, 9)]]"
196,197,"['frag_06_c00001', 'frag_16_c00001']","[[7], []]",40690.36063384425,50690.36063384425,"[[(2, 1), (1, 3)], [(7, 2), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (3, 9)]]"
197,198,"['frag_16_c00001', 'frag_06_c00001']","[[], [7]]",40690.36063384428,50690.36063384428,"[[(7, 2), (2, 4), (1, 5), (4, 6), (5, 7), (6, 8), (3, 9)], [(2, 1), (1, 3)]]"
198,199,"['frag_06_c00001', 'frag_16_c00001']","[[7], []]",40710.882279982325,50710.882279982325,"[[(2, 1), (1, 5)], [(1, 2), (7, 3), (2, 4), (4, 6), (5, 7), (6, 8), (3, 9)]]"
199,200,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",40717.44868003638,50717.44868003638,"[[(1, 2), (3, 3), (2, 4), (7, 5), (5, 6), (4, 7), (6, 8)], [(2, 1), (1, 9)]]"
200,201,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",40717.44868003641,50717.44868003641,"[[(1, 2), (3, 3), (6, 4), (7, 5), (5, 6), (4, 7), (2, 8)], [(2, 1), (1, 9)]]"
201,202,"['frag_16_c00001', 'frag_08_c00001']","[[], [6, 7]]",30834.195653425035,50834.195653425035,"[[(4, 1), (1, 3), (6, 4), (7, 5), (5, 7), (2, 8), (3, 9)], [(2, 2), (1, 6)]]"
202,203,"['frag_16_c00001', 'frag_08_c00001']","[[], [6, 7]]",30834.195653425035,50834.195653425035,"[[(4, 1), (1, 3), (2, 4), (7, 5), (5, 7), (6, 8), (3, 9)], [(2, 2), (1, 6)]]"
203,204,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",40921.34341603538,50921.34341603538,"[[(5, 1), (1, 3), (6, 4), (3, 5), (4, 7), (2, 8), (7, 9)], [(1, 2), (2, 6)]]"
204,205,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",40921.34341603535,50921.34341603535,"[[(5, 1), (1, 3), (2, 4), (3, 5), (4, 7), (6, 8), (7, 9)], [(1, 2), (2, 6)]]"
205,206,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",41017.89682825116,51017.89682825116,"[[(4, 1), (7, 2), (1, 3), (6, 4), (3, 5), (5, 7), (2, 8)], [(2, 6), (1, 9)]]"
206,207,"['frag_16_c00001', 'frag_05_c00001']","[[], [8]]",41017.89682825116,51017.89682825116,"[[(4, 1), (7, 2), (1, 3), (2, 4), (3, 5), (5, 7), (6, 8)], [(2, 6), (1, 9)]]"
207,208,"['frag_09_c00001', 'frag_16_c00001']","[[6, 6], []]",31026.16073337203,51026.16073337203,"[[(1, 1), (2, 5)], [(7, 2), (1, 3), (6, 4), (4, 6), (5, 7), (2, 8), (3, 9)]]"
