,SolN,Fragments,Excess,ObjValNoPen,ObjValWithPen,Assignments
864,865,"['frag_06_c00001', 'frag_15_c00001', 'frag_08_c00001']","[[6], [8, 8], [6, 7]]",9.18248656284775,14.18248656284775,"[[(2, 7), (3, 8)], [(2, 2), (3, 3), (4, 4), (5, 5), (1, 6)], [(1, 1), (3, 9)]]"
865,866,"['frag_06_c00001', 'frag_15_c00001', 'frag_08_c00001']","[[6], [8, 8], [6, 7]]",9.18248656284775,14.18248656284775,"[[(2, 7), (3, 8)], [(2, 2), (3, 3), (4, 4), (5, 5), (1, 6)], [(1, 1), (3, 9)]]"
866,867,"['frag_15_c00001', 'frag_06_c00001', 'frag_08_c00001']","[[8, 8], [6], [6, 7]]",9.18248656284775,14.18248656284775,"[[(2, 2), (3, 3), (4, 4), (5, 5), (1, 6)], [(2, 7), (3, 8)], [(1, 1), (3, 9)]]"
867,868,"['frag_06_c00001', 'frag_15_c00001', 'frag_08_c00001']","[[6], [8, 8], [6, 7]]",9.182486562847753,14.182486562847753,"[[(2, 7), (3, 8)], [(2, 2), (3, 3), (4, 4), (5, 5), (1, 6)], [(1, 1), (3, 9)]]"
868,869,"['frag_08_c00001', 'frag_15_c00001', 'frag_06_c00001']","[[6, 7], [8, 8], [6]]",9.182486562847753,14.182486562847753,"[[(1, 1), (3, 9)], [(2, 2), (3, 3), (4, 4), (5, 5), (1, 6)], [(2, 7), (3, 8)]]"
869,870,"['frag_15_c00001', 'frag_08_c00001', 'frag_06_c00001']","[[8, 8], [6, 7], [6]]",9.182486562847753,14.182486562847753,"[[(2, 2), (3, 3), (4, 4), (5, 5), (1, 6)], [(1, 1), (3, 9)], [(2, 7), (3, 8)]]"
870,871,"['frag_06_c00001', 'frag_08_c00001', 'frag_15_c00001']","[[6], [6, 7], [8, 8]]",9.182486562847753,14.182486562847753,"[[(2, 7), (3, 8)], [(1, 1), (3, 9)], [(2, 2), (3, 3), (4, 4), (5, 5), (1, 6)]]"
871,872,"['frag_15_c00001', 'frag_06_c00001', 'frag_08_c00001']","[[8, 8], [6], [6, 7]]",9.182486562847757,14.182486562847757,"[[(2, 2), (3, 3), (4, 4), (5, 5), (1, 6)], [(2, 7), (3, 8)], [(1, 1), (3, 9)]]"
872,873,"['frag_06_c00001', 'frag_14_c00001', 'frag_11_c00001']","[[6], [6, 8], [7, 8]]",9.186177056924755,14.186177056924755,"[[(2, 7), (3, 8)], [(1, 1), (2, 2), (3, 3), (4, 4)], [(3, 5), (4, 6), (1, 9)]]"
873,874,"['frag_06_c00001', 'frag_14_c00001', 'frag_11_c00001']","[[6], [6, 8], [7, 8]]",9.186177056924755,14.186177056924755,"[[(2, 7), (3, 8)], [(1, 1), (2, 2), (3, 3), (4, 4)], [(3, 5), (4, 6), (1, 9)]]"
874,875,"['frag_06_c00001', 'frag_14_c00001', 'frag_11_c00001']","[[6], [6, 8], [7, 8]]",9.186177056924755,14.186177056924755,"[[(2, 7), (3, 8)], [(1, 1), (2, 2), (3, 3), (4, 4)], [(3, 5), (4, 6), (1, 9)]]"
875,876,"['frag_11_c00001', 'frag_14_c00001', 'frag_06_c00001']","[[7, 8], [6, 8], [6]]",9.186177056924755,14.186177056924755,"[[(3, 5), (4, 6), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4)], [(2, 7), (3, 8)]]"
876,877,"['frag_06_c00001', 'frag_14_c00001', 'frag_11_c00001']","[[6], [6, 8], [7, 8]]",9.186177056924755,14.186177056924755,"[[(2, 7), (3, 8)], [(1, 1), (2, 2), (3, 3), (4, 4)], [(3, 5), (4, 6), (1, 9)]]"
877,878,"['frag_14_c00001', 'frag_11_c00001', 'frag_06_c00001']","[[6, 8], [7, 8], [6]]",9.186177056924755,14.186177056924755,"[[(1, 1), (2, 2), (3, 3), (4, 4)], [(3, 5), (4, 6), (1, 9)], [(2, 7), (3, 8)]]"
878,879,"['frag_14_c00001', 'frag_11_c00001', 'frag_06_c00001']","[[6, 8], [7, 8], [6]]",9.186177056924755,14.186177056924755,"[[(1, 1), (2, 2), (3, 3), (4, 4)], [(3, 5), (4, 6), (1, 9)], [(2, 7), (3, 8)]]"
879,880,"['frag_11_c00001', 'frag_14_c00001', 'frag_06_c00001']","[[7, 8], [6, 8], [6]]",9.186177056924755,14.186177056924755,"[[(3, 5), (4, 6), (1, 9)], [(1, 1), (2, 2), (3, 3), (4, 4)], [(2, 7), (3, 8)]]"
880,881,"['frag_06_c00001', 'frag_15_c00001', 'frag_03_c00001']","[[6], [7, 8], []]",11.192943277603774,14.192943277603774,"[[(2, 7), (3, 8)], [(6, 1), (2, 2), (3, 3), (5, 5), (1, 6)], [(2, 4), (1, 9)]]"
881,882,"['frag_06_c00001', 'frag_15_c00001', 'frag_03_c00001']","[[6], [7, 8], []]",11.192943277603774,14.192943277603774,"[[(2, 7), (3, 8)], [(6, 1), (2, 2), (3, 3), (5, 5), (1, 6)], [(2, 4), (1, 9)]]"
882,883,"['frag_03_c00001', 'frag_06_c00001', 'frag_15_c00001']","[[], [6], [7, 8]]",11.192943277603774,14.192943277603774,"[[(2, 4), (1, 9)], [(2, 7), (3, 8)], [(6, 1), (2, 2), (3, 3), (5, 5), (1, 6)]]"
883,884,"['frag_06_c00001', 'frag_15_c00001', 'frag_03_c00001']","[[6], [7, 8], []]",11.192943277603778,14.192943277603778,"[[(2, 7), (3, 8)], [(6, 1), (2, 2), (3, 3), (5, 5), (1, 6)], [(2, 4), (1, 9)]]"
884,885,"['frag_06_c00001', 'frag_15_c00001', 'frag_03_c00001']","[[6], [7, 8], []]",11.192943277603778,14.192943277603778,"[[(2, 7), (3, 8)], [(6, 1), (2, 2), (3, 3), (5, 5), (1, 6)], [(2, 4), (1, 9)]]"
885,886,"['frag_03_c00001', 'frag_15_c00001', 'frag_06_c00001']","[[], [7, 8], [6]]",11.192943277603778,14.192943277603778,"[[(2, 4), (1, 9)], [(6, 1), (2, 2), (3, 3), (5, 5), (1, 6)], [(2, 7), (3, 8)]]"
886,887,"['frag_03_c00001', 'frag_15_c00001', 'frag_06_c00001']","[[], [7, 8], [6]]",11.192943277603778,14.192943277603778,"[[(2, 4), (1, 9)], [(6, 1), (2, 2), (3, 3), (5, 5), (1, 6)], [(2, 7), (3, 8)]]"
887,888,"['frag_03_c00001', 'frag_06_c00001', 'frag_15_c00001']","[[], [6], [7, 8]]",11.192943277603781,14.192943277603781,"[[(2, 4), (1, 9)], [(2, 7), (3, 8)], [(6, 1), (2, 2), (3, 3), (5, 5), (1, 6)]]"
