,SolN,Fragments,ObjValNoPen,ObjValWithPen
128,129,"['frag_03_c00001', 'frag_04_c00001', 'frag_13_c00001']",217.11160296766866,317.11160296766866
129,130,"['frag_03_c00001', 'frag_08_c00001', 'frag_10_c00001']",220.6766537724768,320.6766537724768
130,131,"['frag_04_c00001', 'frag_07_c00001', 'frag_10_c00001']",222.17723001812942,322.1772300181294
131,132,"['frag_10_c00001', 'frag_13_c00001']",222.25760668092414,322.25760668092414
132,133,"['frag_05_c00001', 'frag_06_c00001', 'frag_09_c00001']",223.26757116759268,323.2675711675927
133,134,"['frag_01_c00001', 'frag_04_c00001', 'frag_06_c00001', 'frag_09_c00001']",223.78640871498624,323.78640871498624
134,135,"['frag_01_c00001', 'frag_02_c00001', 'frag_05_c00001', 'frag_10_c00001']",223.8417842935719,323.8417842935719
135,136,"['frag_02_c00001', 'frag_05_c00001', 'frag_11_c00001']",224.5187801262864,324.5187801262864
136,137,"['frag_07_c00001', 'frag_15_c00001']",127.99310658148374,327.99310658148374
137,138,"['frag_02_c00001', 'frag_04_c00001', 'frag_05_c00001', 'frag_06_c00001']",229.25487432577233,329.25487432577233
138,139,"['frag_01_c00001', 'frag_02_c00001', 'frag_05_c00001', 'frag_08_c00001']",230.9503682674066,330.9503682674066
139,140,"['frag_01_c00001', 'frag_03_c00001', 'frag_05_c00001', 'frag_09_c00001']",234.38544450651057,334.38544450651057
140,141,"['frag_03_c00001', 'frag_08_c00001', 'frag_11_c00001']",134.43015690468042,334.4301569046804
141,142,"['frag_04_c00001', 'frag_07_c00001', 'frag_11_c00001']",134.88952024532375,334.88952024532375
142,143,"['frag_11_c00001', 'frag_13_c00001']",134.9452064243958,334.9452064243958
143,144,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_05_c00001']",240.37338361811408,340.3733836181141
144,145,"['frag_03_c00001', 'frag_04_c00001', 'frag_06_c00001', 'frag_08_c00001']",140.6770898195466,340.6770898195466
145,146,"['frag_04_c00001', 'frag_06_c00001', 'frag_13_c00001']",141.17677068011562,341.1767706801156
146,147,"['frag_05_c00001', 'frag_07_c00001', 'frag_08_c00001']",142.58997334167407,342.58997334167407
147,148,"['frag_01_c00001', 'frag_04_c00001', 'frag_07_c00001', 'frag_08_c00001']",143.28350965532923,343.2835096553292
148,149,"['frag_03_c00001', 'frag_06_c00001', 'frag_14_c00001']",143.29363036743985,343.29363036743985
149,150,"['frag_06_c00001', 'frag_08_c00001', 'frag_10_c00001']",145.34498942531354,345.34498942531354
150,151,"['frag_03_c00001', 'frag_04_c00001', 'frag_05_c00001', 'frag_07_c00001']",148.52321027475432,348.5232102747543
151,152,"['frag_01_c00001', 'frag_07_c00001', 'frag_14_c00001']",150.45820553928638,350.4582055392864
152,153,"['frag_01_c00001', 'frag_08_c00001', 'frag_13_c00001']",151.29181150258432,351.2918115025843
153,154,"['frag_03_c00001', 'frag_05_c00001', 'frag_13_c00001']",152.7339050811902,352.7339050811902
154,155,"['frag_01_c00001', 'frag_03_c00001', 'frag_04_c00001', 'frag_13_c00001']",153.11160296766866,353.11160296766866
155,156,"['frag_03_c00001', 'frag_04_c00001', 'frag_06_c00001', 'frag_10_c00001']",155.48975532295572,355.4897553229557
156,157,"['frag_01_c00001', 'frag_03_c00001', 'frag_08_c00001', 'frag_10_c00001']",156.6766537724768,356.6766537724768
157,158,"['frag_05_c00001', 'frag_07_c00001', 'frag_10_c00001']",157.77837063924926,357.77837063924926
158,159,"['frag_01_c00001', 'frag_04_c00001', 'frag_07_c00001', 'frag_10_c00001']",158.17723001812942,358.1772300181294
159,160,"['frag_01_c00001', 'frag_10_c00001', 'frag_13_c00001']",158.25760668092403,358.257606680924
160,161,"['frag_02_c00001', 'frag_03_c00001', 'frag_14_c00001']",262.089642729474,362.089642729474
161,162,"['frag_03_c00001', 'frag_10_c00001', 'frag_11_c00001']",162.81469091617225,362.81469091617225
