,Fragments,ObjValNoPen,ObjValWithPen
495,"['frag_03_c00001', 'frag_05_c00001', 'frag_07_c00001']",50983.63563830521,50983.63563830521
496,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.76517631526,50983.63563830521
497,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.76517631526,51414.76517631526
498,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.765176315275,51414.76517631526
499,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.765176315275,51414.765176315275
500,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.765176315275,51414.765176315275
501,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.765176315275,51414.765176315275
502,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.765176315275,51414.765176315275
503,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.765176315275,51414.765176315275
504,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.765176315275,51414.765176315275
505,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.765176315275,51414.765176315275
506,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.765176315275,51414.765176315275
507,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.765176315275,51414.765176315275
508,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.765176315275,51414.765176315275
509,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.765176315275,51414.765176315275
510,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.765176315275,51414.765176315275
511,"['frag_01_c00001', 'frag_02_c00001', 'frag_03_c00001', 'frag_07_c00001']",51414.765176315275,51414.765176315275
512,"['frag_01_c00001', 'frag_08_c00001', 'frag_09_c00001']",51518.84374612381,51414.765176315275
513,"['frag_01_c00001', 'frag_08_c00001', 'frag_09_c00001']",51518.84374612381,51518.84374612381
514,"['frag_01_c00001', 'frag_08_c00001', 'frag_09_c00001']",51518.84374612381,51518.84374612381
515,"['frag_01_c00001', 'frag_08_c00001', 'frag_09_c00001']",51518.84374612381,51518.84374612381
516,"['frag_01_c00001', 'frag_08_c00001', 'frag_09_c00001']",51518.84374612381,51518.84374612381
517,"['frag_01_c00001', 'frag_08_c00001', 'frag_09_c00001']",51518.84374612381,51518.84374612381
518,"['frag_01_c00001', 'frag_08_c00001', 'frag_09_c00001']",51518.84374612381,51518.84374612381
519,"['frag_01_c00001', 'frag_08_c00001', 'frag_09_c00001']",51518.84374612381,51518.84374612381
520,"['frag_01_c00001', 'frag_09_c00001', 'frag_09_c00001']",51689.61731160312,51518.84374612381
521,"['frag_01_c00001', 'frag_09_c00001', 'frag_09_c00001']",51689.61731160312,51689.61731160312
522,"['frag_02_c00001', 'frag_05_c00001', 'frag_08_c00001']",52090.694053185194,51689.61731160312
523,"['frag_02_c00001', 'frag_05_c00001', 'frag_08_c00001']",52090.694053185194,52090.694053185194
524,"['frag_02_c00001', 'frag_05_c00001', 'frag_08_c00001']",52090.694053185194,52090.694053185194
525,"['frag_02_c00001', 'frag_05_c00001', 'frag_08_c00001']",52090.694053185194,52090.694053185194
526,"['frag_02_c00001', 'frag_05_c00001', 'frag_08_c00001']",52090.694053185194,52090.694053185194
527,"['frag_02_c00001', 'frag_05_c00001', 'frag_08_c00001']",52090.694053185194,52090.694053185194
528,"['frag_02_c00001', 'frag_05_c00001', 'frag_08_c00001']",52090.694053185194,52090.694053185194
529,"['frag_02_c00001', 'frag_05_c00001', 'frag_08_c00001']",52090.694053185194,52090.694053185194
530,"['frag_02_c00001', 'frag_07_c00001', 'frag_09_c00001']",62117.17646517544,52090.694053185194
531,"['frag_02_c00001', 'frag_07_c00001', 'frag_09_c00001']",62117.17646517544,52117.17646517544
532,"['frag_02_c00001', 'frag_07_c00001', 'frag_09_c00001']",62117.17646517544,52117.17646517544
533,"['frag_02_c00001', 'frag_07_c00001', 'frag_09_c00001']",62117.17646517544,52117.17646517544
534,"['frag_02_c00001', 'frag_07_c00001', 'frag_09_c00001']",62117.17646517544,52117.17646517544
535,"['frag_02_c00001', 'frag_07_c00001', 'frag_09_c00001']",62117.17646517544,52117.17646517544
536,"['frag_02_c00001', 'frag_07_c00001', 'frag_09_c00001']",62117.17646517544,52117.17646517544
537,"['frag_02_c00001', 'frag_07_c00001', 'frag_09_c00001']",62117.17646517544,52117.17646517544
538,"['frag_03_c00001', 'frag_04_c00001', 'frag_14_c00001']",62132.829628646265,52117.17646517544
539,"['frag_03_c00001', 'frag_04_c00001', 'frag_14_c00001']",62132.829628646265,52132.829628646265
540,"['frag_03_c00001', 'frag_04_c00001', 'frag_14_c00001']",62132.829628646265,52132.829628646265
541,"['frag_03_c00001', 'frag_04_c00001', 'frag_14_c00001']",62132.829628646265,52132.829628646265
542,"['frag_03_c00001', 'frag_04_c00001', 'frag_14_c00001']",62132.829628646265,52132.829628646265
543,"['frag_03_c00001', 'frag_04_c00001', 'frag_14_c00001']",62132.829628646265,52132.829628646265
544,"['frag_03_c00001', 'frag_04_c00001', 'frag_14_c00001']",62132.82962864628,52132.829628646265
545,"['frag_03_c00001', 'frag_04_c00001', 'frag_14_c00001']",62132.82962864628,52132.82962864628
546,"['frag_12_c00001', 'frag_13_c00001']",72183.20221881452,52132.82962864628
547,"['frag_12_c00001', 'frag_13_c00001']",72183.20221881452,52183.20221881453
548,"['frag_12_c00001', 'frag_13_c00001']",72183.20221881452,52183.20221881453
549,"['frag_12_c00001', 'frag_13_c00001']",72183.20221881452,52183.20221881453
550,"['frag_11_c00001', 'frag_13_c00001']",72194.72293500681,52183.20221881453
551,"['frag_11_c00001', 'frag_13_c00001']",72194.72293500681,52194.7229350068
552,"['frag_11_c00001', 'frag_13_c00001']",72194.72293500681,52194.7229350068
553,"['frag_11_c00001', 'frag_13_c00001']",72194.72293500681,52194.7229350068
554,"['frag_01_c00001', 'frag_02_c00001', 'frag_02_c00001', 'frag_08_c00001']",52211.77304421785,52194.7229350068
